__label__anger __label__sadness	i just tried installing those missing plugins ... what a pain !
__label__fear	i was afraid of that !
__label__fear	sorting the hashes is also a possibility that i have considered . i 'm a bit concerned about memory usage , but i 'll worry about that later .
__label__fear	scary question !
__label__fear	i 'm only generating the autogeneratedclass . the genericclass and its generichandler ( ) method are hand - coded in a different assembly from the autogeneratedclass altogether . so i 'm afraid this wo n't work .
__label__fear	i have a few classes which do nothing except in their constructors / destructors . here 's an example i 'm a little concerned about future readability . am i being too " tricksy " here , with a variable ( " busy " ) which is never actually used in the code ? could some static analysis tool suggest they be removed , or is this idiom sufficiently common not to worry about ?
__label__fear	i 'm cleaning up the css on a fairly large ( and somewhat disorganized ) website . is there a simple way ( or a piece of software ) that will let me find , for example , all the " a " tags that are within " h3 " tags ? or all the " spans " that are within " p " tags ? i want to modify some of these css rules but i 'm afraid i 'll break something hidden somewhere . any advice ?
__label__fear	linked lists have operations which a fifo queue does not ( enumerate the list , remove items from the middle , etc ) . so personally , i 'd fear that if a list is used as a queue without encapsulation , then in future some fool ( probably me ) will fail to observe the fifo constraint .
__label__fear	expected about users . i am worried that running + queries ( should be much more than that ) will eventually result in a timeout … now i am worrying whether i am creating a discussion rather than a qna
__label__love __label__surprise	i agree with @rogeria . this does n't explain why it is called the ioc and i am surprised by the number of up votes 😉
__label__joy __label__anger	i discovered the problem : i created my rails project with and had a model ' dream ' as well . rails was looking at the application class instead of the model class . i got an error about dream already existing when i created the model and hand hacked my way around that ( in retrospect , a horrible idea ) . this has been very frustrating but i have learned quite a bit !
__label__sadness	@michael : dude , i feel your pain ( since my howto search led me here ) .
__label__sadness	ah - make me look lazy ! ( guilty )
__label__sadness	i afraid here the relation between c1 and c2 in a single row could not be maintained ! ! !
__label__sadness	i should add that the element thing throws an error when it ca n't find something . do you normally use try / except for all find_element commands ? * oh so very sad * ☹️
__label__sadness	is it possible ( or desirable ? ! ) to set up to behave more like ? for example , instead of writing why ca n't i just write similarly , instead of why not just
__label__sadness	i 'm completely horrible with javascript and jquery , how do i get the content from a php file ?
__label__sadness	i have implemented this in my visual studio addon visual installer as intellisense member completion . if you type variable followed by a period (.) a list of all possible members of this class is presented in a list from which you can choose:second option is to move cursor over any class to view it 's members:see details here : http://www.unsigned-softworks.sk/visual-installer/features.html#member-completionp.s. sorry for this self promo - tlama is very angry for promoting 3rd party software in inno questions but there is no support for this in official inno setup editor and many people ask for this .
__label__sadness	first of all i ca n't see object locking , unused lockobject variable makes me sad . ienumerable is not special . each thread will have it 's own copy of reference to some instance of sektioner object . you ca n't affect other threads that way . what would happen with old version of data pointed by sektioner field largely depends on calling party .
__label__sadness	you can set the document . domain but if i remember correctly a few browsers ( opera ) will not even allow this . i am afraid your answer is to create some sort of proxy on the subdomain that you can talk through
__label__sadness	that 's very sad ☹️
__label__sadness	i 'm not for sure how the controlcollection of asp . net works , so maybe someone can shed some light on this for me . i recently discovered the magic that is extension methods and linq . well , i was very sad to find that this is n't valid syntax however from what i can tell , does implement the interface which provides such methods , so what gives ? why does n't that just work ? i have found a decent work around for this issue at least :
__label__sadness	i understand its not a desirable circumstance , however if i needed to have some kind of html within json tags , e.g. : is this possible to do in python without requiring to to be escaped beforehand ? it will be a string initially so i was thinking about writing a regular expression to attempt to match and escape these prior to processing , but i just want to make sure there is n't an easier way .
__label__sadness	a unit test should do the same thing every time that it runs , otherwise you may run into a situation where the unit test only fails occasionally , and that could be a real pain to debug . try seeding your pseudo-randomizer with the same seed every time ( in the test , that is -- not in production code ) . that way your test will generate the same set of inputs every time . if you ca n't control the seed and there is no way to prevent the function you are testing from being randomized , then i guess you are stuck with an unpredictable unit test . ☹️
__label__sadness	if i delete this question will it increase my reputation ? down votes it really sad .
__label__sadness	you could try this one ( not optimal , i am afraid ) :
__label__sadness	that is very very sad
__label__love __label__joy	i find by martin fowler to be an excellent overview of a variety of ui architectures . hope it helps 🙂
__label__love __label__joy	good question . i noticed method entry breakpoints slow things down considerably when i 'm debugging java programs with eclipse . i hope someone has the answer !
__label__love __label__joy	we 've deployed 's plot pack in both activex and . net flavors with great success . great api , incredibly flexible , provides a toolbar that let s users pan / zoom / customize . it 's solid , has a long track record , relatively inexpensive , and is very fast . ( i 'm not affiliated , by the way . )
__label__love __label__joy	i use and to embed the code formatting portions . works great for me ! 🙂 sample page :
__label__love __label__joy	i recently imported about 60k records into a table that relates data in one table to data in another table . however , my client has since requested that a sort order be added to all 60k records . my hope is there is a nice clean way to auto generate these sort orders in a sql update . the finished data should look something like this : can this be done ? any suggestions would be hugely appreciated . -- anne
__label__love __label__joy	excellent ! thanks .
__label__joy __label__surprise	wow ! yeah , i did 'nt know that ! great new feature .
__label__joy	well , without any third - party tools , i 'd say try using the clipboard ring , but roosteronacid 's idea about the snippet is probably quicker . hope that helps !
__label__joy	excellent questions ! this particular project will need ds , wayf , etc.
__label__joy	wonderful 🙂 🙂
__label__joy	per : https://support.google.com/googleplay/android-developer/answer/ ? hl = enyou need to be registered as a member of a google + or google group that is designated for beta or alpha testing by the developer . if you are not registered , you will only be able to download the production app from google play , not the beta or alpha version of the app from google play . having the " link " wo n't be sufficient , you need to opt - in to the beta or alpha via google + or google group . please note that even if you properly opt - in via google + or google groups as defined by the developer , you will need to wait several hours ( perhaps - hours ) for your status to propagate via google play . so , perhaps you need to wait - hours even if your beta / alpha status is proper ? hope this helps !
__label__joy	learn jquery . rejoice ! < -- take your pick .
__label__joy	proxy ( among many other meanings ) is a ** design pattern ** -- see [ wikipedia ] ( http://en.wikipedia.org/wiki/proxy_pattern) for excellent coverage ( not intensely c ++ specific , of course ) .
__label__joy	i second trying to put the whole path instead . for relative paths , if you 're doing compiling and running in command line / terminal , you need to have that studentrecords . txt in the same directory of your code files . if you 're using an ide , you need to put your studentrecords . txt under the src / folder . this is assuming you 're not in maven project setup ; otherwise it should be put under / src / main / java / resources / . hope this helps !
__label__joy	got some code here that is n't working : basically i have lists and want to add a class ( last ) to each item appearing last in each unordered list . hope that makes sense , cheers !
__label__joy	i get it ! i guess you are right
__label__joy	for an excellent event manager class , check danny miller 's : http://k2xl.com/wordpress/ / / /as3-eventmanager-class-removealllisteners/
__label__joy	very annoying , but simply solved ! reason is that by writing you tell ruby : i 'm giving a block to this method call … and that 's obviously not what you want . simple fix : just add parentheses to your method call :
__label__joy	for you guys who ca n't find the ' documents and settings ' ( whatever reason there may be ) here is another path where the trusted . certs can be found : hope this helps !
__label__joy	excellent ! this user agent switcher is a gold mine !
__label__joy	excellent alternative !
__label__joy	excellent ! glad to hear it !
__label__joy	excellent icons on ! ! ! we use them in pertrainer iphone application you can see screenshots here : i also found some good icons here : hope this helps ! ! !
__label__joy	leppie , those are great news ! i am looking forward to try out ironscheme !
__label__joy	great to hear ! good luck implementing . if you have any questions , feel free to ask 🙂
__label__joy	sounds like you are looking for a jsmin tool or similar . there are many tools which you can purchase , but there are also some online tools you can use : good luck !
__label__joy	good luck !
__label__joy	try < % if ( viewcontext . viewname == " index " ) { %> should work fine ! ! ! edit : removed in beta1 removed the viewname property from the viewcontext class .
__label__joy	personally , if you think you can do huge amounts of refactoring , why not get the other student to come and sit with you and as you go , he / she can ask questions and maybe he / she has some ideas of their own . our industry moves fast , as i 'm sure you know , so your partner wo n't encounter other devs as forgiving as you . i 've added this as a comment because it does n't actually answer your question about unit testing . just wanted to give you something else to think about . good luck !
__label__joy	yup , for the better . it makes it harder to write hard to read code .
__label__joy	devexpress have a good one : the rangetrackbarcontrol control extends the functionality provided by the trackbarcontrol enabling end - users to select a range of values . two sliders can be used to set the minimum and maximum values : you can get them free from : hope this helps !
__label__joy	edited my post . hope it helps ; and feel free to keep asking questions !
__label__joy	i might explain but documentation on msdn is already pretty excellent . consider visiting following links . here is the link to in with example -- and -- synchronization in -- mfc -- hope these help
__label__joy	@padraiccunningham fixed ; it 's a habit . though now it basically screams to be broken up over multiple lines !
__label__joy	i do know the iphone prefers png. but also png- with alphatransparency ? i hope it does !
__label__joy	@gabriele no worries ! glad to have helped 🙂
__label__joy	when explaining things to someone who seems to still be learning haskell , i 'd avoid using ( or even showing ) the pointless style . do n't want to scare them 😉
__label__joy	we eventually dropped using filestream . i believe we never could get it to work right with nhibernate . good luck !
__label__joy	my solution for at indexes and of any string would be : if this evaluates to true it means that the character at index x is enclosed by a set of parentheses . you can test for the index y respectively hope that helped , cheers ! alex
__label__joy	if you are currently using a to display the , than you can create a custom which does filtering automatically as you type keys . the following webpage provides an excellent example of this : good luck !
__label__joy __label__sadness	sorry , you need to move that serializer before this one….i 'll update the answer no problem , django rest framework is really great , have fun with it !
__label__anger	that spammer was horrible !
__label__anger	i have a datagridview and need of context menu . when i right - click on cell ( red point ) - context menu shows … but in wrong place . ca n't understand why here is the code : that stuff really annoys me !
__label__anger	in general , this is a _ terrible _ idea . c ++ headers are not intended to be included in an alternately namespace as was used here .
__label__anger	this seems fairly trivial but is giving me hella grief ! i have a module in the lib folder . the controller . config / application . rb and i get this error i know the module is loaded correctly . what am i doing wrong ?
__label__anger	rmeader : if you have clients who can barely restart their computer it is a pain . and from what i heard some versions of windows do n't automatically synch time ...
__label__anger	hate ghost comments ! ☹️
__label__anger	start with master pages on day # - its a pain coming back to retrofit .
__label__anger	i got it … this is incredibly silly question ! static means i just access it directly from without using it from the instance .
__label__anger	yes definately turn off that solution wide processing . it 's a hog .
__label__anger	@mikechristensen that 's horrible 😐 and weird ! !
__label__anger	most of the times when iphone program crash , compiler show stack with full of no 's , but these no 's do n't make any sense to me . very rarely it point out where the problem might be and mostly there are these useless no 's . how you can make sure that when your program crashes while development / testing , it shows at what place this cause this crash ?
__label__anger	this is n't really pythonic so much as tortured , but here 's a short version ( with meaningless - character variable names , no less ! )
__label__anger	obligatory i am not a lawyer . are you violating the legal clauses of the gpl ? probably not . ati and nvidia do this sort of thing with their graphics drivers for linux . however , it 's important to note that linux is gplv2 ; this may have changed with gplv3 . are you violating the spirit of the gpl ? yes , and judging from the way your question was written , you already knew this .
__label__anger	is there a way to create a batch api request with different access tokens to be used ? i need to crawl data from youtube channel using the offline access tokens of our users but the problem is we have 20k of that and having request at a time is really painful and is taking lot of time .
__label__anger	how is a question about hosting less programming related than this which gets plenty of up votes http://stackoverflow.com/questions/ /dealing-with-awful-estimates
__label__anger	here 's a really terrible hack if you do n't want the indirection and do n't mind doing the cleanup yourself :
__label__anger	the more i use updatepanels the more i hate them . i suggest you learn jquery or another javascript library and avoid using updatepanels all together .
__label__anger	i do n't use ironpython , but what i 've read so far about it does not certify the " incredibly bad python implementation " [ typo fixed ] .
__label__anger	the problem is that you never run the method , so the field stays at zero . it 's a really terrible idea to give a field and a method the same name .
__label__anger	well , you could play around a bit … what about a function that rewrites itself ? warning : this is extremely ugly and should not be used in production code !
__label__anger	how i hate myserlf !
__label__anger	this is a problem that regularly arises when i write silverlight xaml . in this case , i 've made a usercontrol verticaltabstop ( code attached ) that has a tooltip attached . i instanciate a couple of my usercontrols , and then i get the debugging window and the following error : i get an awful lot of these messages as i hover my mouse over the buttons . any suggestions to what i 'm doing wrong here ? cheers
__label__anger	okay .. after allot of trial and error i did something ( complete desperation ) and it worked ! this is too dumb , and if it were n't for the fact that some other person might have the same issue i 'd keep this to myself ..... i simply created a verticalfieldmanager that i added all the fields to , then added that vfm to the screen . point in fact this should not make any difference - at all - as the default manager on a screen is a vfm. nothing else . no other properties set , methods called , events .... nada . go figure .
__label__anger	@raubi : which bit ? it 's still going to be horribly inefficient for long sequences , as it 's still doing an enormous amount of string concatenation .
