__label__joy	joy_0	as suggest above ; i move the detector class from #hlink# to #hlink# subpackages in revision . that should complete the last remain open issue with this feature ; so resolve as fix .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.515 0.515 0.515 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__joy	joy_1	yay ! it should be really really easy ( not include the test ; i think it 's just delete character )	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.712 0.712 0.712 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_0	thanks for the patch jì_rgen . revision .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__anger	anger_0	i should have mark this resolve back in september .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_1	patch apply . thanks florian .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love __label__joy	love_joy_0	ah ; great ; thing be run now . thanks guy .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 1.0 0.0 0.0 0.0 0.0
__label__anger	anger_1	bug flavio more ? seriously ; discuss with flavio and come up with a patch & test that be deterministic . another option would be to refactor to allow the code in question to be test as a true unit test ; rather than as a system test ( we need to work on that in general in zk ) . mockito ?	0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.1 0.0 0.0 0.1 0.0 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.188 0.188 0.188 1.0 0.0 0.0 0.0 0.0
__label__fear	fear_0	i think with the late code ; this ' pop ' message should only show up if an avt be use with an incorrect value . if avt 's be not use ; the error should be catch statically and you should see the message : illegal value : sideways use for enum attribute : order . valid value be : ascending descending . do we have a testcase where the invalid value be in an avt ?	0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 4.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.07692307692307693 0.0 0.0 0.3076923076923077 0.07692307692307693 0.15384615384615385 0.5384615384615384 0.394 0.394 0.394 0.25 0.0 0.0 0.0 0.0 0.5 0.5 0.5 0.25 0.258 0.469 0.188 1.0
__label__sadness	sadness_0	oppss … sorry late reply … thx for handle this issue claus . i prefer it to be the way it be now ; document this behaviour as claus already do . i think there might be both behaviour have its particular usage ; if we want to have a param that be a string ; it make sense to use < param > .. < / param > ; anything in between that 's enclose with %{} will be evaluate and its tostring ( ) call . on the other hand ; if we want an object ; we could used the value attribute . i guess what i be try to say be that both way of use param have their own usage . of course this be just my cent	0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.058823529411764705 0.0 0.058823529411764705 0.8823529411764706 0.0 0.0 0.0 0.0 0.344 0.344 0.344 0.5 0.0 0.0 0.0 0.0 0.125 0.125 0.125 0.5
__label__love	love_2	patch be in. thanks .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_3	thanks for the patch ; michael . apply with a few modification .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__surprise	surprise_0	woops ; think this be already fix …	0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__surprise	surprise_1	i do have some interest in work on this ; but it 's not currently on my radar . implement solr- would illustrate the issue that need fix .. although if this be tackle #ord# ; write solr- would be much easy .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.14285714285714285 0.0 0.0 0.0 0.0 0.14285714285714285 0.8571428571428571 0.545 0.545 0.545 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_4	thanks for the issue / step to resolve . pretty much do what you say verbatim . ( as it work out on the other regexp issue )	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14285714285714285 0.0 0.0 0.0 0.0 0.8571428571428571 0.0 0.0 0.0 0.0 0.469 0.469 0.469 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_5	patch apply . thanks !	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__joy	joy_2	awesome . i actually do find #crd# more non-code file - the readme doc in java / social - api / and have add them as deletes to my client . good to know it check out with you though . unless anybody object i will submit this relatively soon .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.125 0.0 0.0 0.0 0.125 0.875 0.0 0.0 0.0 0.0 0.547 0.547 0.547 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_6	patch apply . thanks	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_7	this work great for me ; but it have demonstrate another issue when some tapestry 's script file try to use the clientid in order to create javascript identifier for variable . i will open a new issue describe this .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.09090909090909091 0.0 0.0 0.0 0.09090909090909091 0.8181818181818182 0.0 0.0 0.0 0.0 0.288 0.288 0.288 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
