__label__sadness __label__fear	this code is scary ☹️
__label__love __label__anger	that 's the way i do it too . oracle 's create or replace is way better , i hate to repeat code .
__label__anger	more than ? how about more than or ? remembering the argument ordering in constructors is a real pain .
__label__anger	i guess that works , but i 'd never do that . it 's screaming bad practice . think about code readability etc … come back to your code in six months and figure out all the function calls inside your html markup .
__label__anger	so only workaround which works for me is to add this js to template of my site .. but its really awful solution , since i only need it in one article / module
__label__anger	that 's an awful lot of swapping hold and pattern spaces …
__label__anger	each tab in my xcode project can have navigation / debug / utility menus open . if i close those menus on one tab , then switch to the next , they may be open . this is really frustrating ! if i want the menus closed , i want them closed on all tabs . how can i change this behavior ?
__label__anger	regexes are fraught . a regex that splits parameters on commas will get awfully confused if one of the parameters is ` \ " hello , world ! \ " ` .
__label__anger	our qa team uses hp quality center for defect tracking , test plans , etc. the dev team really detests quality center and wants to use jira for internal task tracking . can these two systems work seamlessly together ? i have worked on projects where teams used separate issue - tracking systems and keeping them in sync was a major headache . anyone have real - world experience integrating quality center and jira ?
__label__anger	the problem is that " hello world " is a terrible example to use with tdd. you really need something that generates variable output based on variable input .
__label__anger	you are processing the newline character as if it is legitimate input . you should either read the entire line ( including the newline , perhaps using a ) and then process the first character of the line or simply add a test to skip newlines in your loop logic.p.s . converting case by adding or subtracting is a really awful approach . it wo n't work with anything but a-z and a-z ( in the english alphabet ) . it wo n't work for most characters outside the basic latin block and should n't be used at all for characters that have no alternate case ( such as newline ) . you should be using and instead .
__label__anger	i guess i could do that . it 's just a pain when in microsoft word i can hold down shift and drag to do this , but i ca n't in visual studio !
__label__anger	when i refactor the following line : using resharper 's " use object initializer " , i get the following : i really hate this type of formatting because with longer object names and variables it just gets out of control . how can i get resharper to do the following ?
__label__anger	com components are really a pain to manage , update , versioning , etc.
__label__anger	i currently have speakers set up both in my office and in my living room , connected to my pc via two sound cards , and would like to switch the set of speakers i 'm outputting to on the fly . anyone know an application or a windows api call that i can use to change the default sound output device ? it is currently a bit of a pain to traverse the existing control panel system .
__label__anger	its absurdly late / early so maybe i 'm just tired , but can anyone tell me why in the world the following test is not failing ? really need a second pair of eyes to confirm i 'm not crazy….now i 'm worried that all my tests are unreliable .
__label__anger	i really hate that object …
__label__anger	when querying from the database using entity framework , what exceptions should one catch and what should be done about them ? generally i use because i have no specific action or feedback for every possible type of error , but i am constantly reminded that this is a terrible idea and that specific exceptions should be caught and handled ! example : what are the standards / guidelines for handling ef exceptions ?
__label__anger	@wst it does n't even have the decency to return the same map ? that is really terrible .
__label__anger	this is extremely unsafe ! use ` mysqli ` or ` pdo ` instead of ` mysql _ ` .
__label__anger	the screen which shows whenever i start netbeans is very annoying , and among the hundreds of options i ca n't find the one which turns it off ?
__label__anger	the . net installation is one of the most painful setups of all history , in all means possible . i 've did many such setups and about half of them even * crashed * for xp.
__label__anger	how do i change the position of the sort button in header of the grid in tapestry ? i have column names of different lengths and i break lines on spaces , so the button , which is appended to the end of the column names , always ends up in different height . and that is very ugly ☹️
__label__anger	james , the stack trace under that is just my function name . nothing more . very frustrating ☹️
__label__anger	maybe someone knows how to disable content assist only on ' else ' keyword when working with php source editor in aptana ? as i really , really hate it with this keyword , because after newest release it 's really messing with my workflow as after entering ' else ' and pressing enter it replaces it with : and sometimes it decides to get rid of indents completely . mind you i do n't want to disable content assist completely , i just want to disable it for ' else ' keyword .
__label__anger	hi i 'm using the chrome inspector ( f12 ) to try and analyze the z - index of a twitter bootstrap popover , and finding it extremely frustrating … is there a way to freeze the popover ( while shown ) so that i can assess and modify the associated css ? placing a fixed ' hover ' on the associated link does not cause the popover to appear .
__label__anger	i had the problem that white was the " overscroll " color , not actually the fading edge . try this ( assuming you want a fading edge , but not the horrid white glare when you hit the ends ! ( otherwise set requires fading edge to none )) :
